id,type,x,y,z,slope,outgoing,drain,drainCoupledID,drainType,drainLength,drainWidth,n_Manning,yFull,area,width
97,STREET,824311.656351713,92911.6531534279,27.432,0.0057834485766751,99,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
98,STREET,824380.396814234,93029.685617363,27.7368,0.018234160926181,99,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
99,STREET,824326.366222294,93069.0737385876,26.5176,0.003051485206007,141,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
100,STREET,824326.362022305,93069.0753385854,26.5176,0.0030516176898655,141,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
101,OUTFALLSTREET,824225.767423492,93142.3996919369,26.2128,0,-1,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
102,STREET,824225.76872349,93142.4022919326,26.2128,0,101,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
103,STREET,824225.7649235,93142.4030919292,26.2128,0,101,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
104,STREET,824116.135942755,93222.3155321047,26.5176,0.002246741875085,139,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
105,STREET,823228.500924654,93176.982464267,32.3088,0.0087242136831719,230,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
106,STREET,824116.131642763,93222.3187320956,26.5176,0.0022466531145838,139,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
107,STREET,824031.158012712,93284.2592082177,27.432,0.0086959053804597,106,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
108,STREET,823250.12147479,93403.941468853,30.7848,0.0026481733292606,300,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
109,STREET,823235.923303186,93419.9261368804,30.7848,0.00307377187034,300,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
110,STREET,823232.715541168,93423.5375303056,30.7848,0.0031798055357974,300,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
111,STREET,823505.84574663,93514.2527702797,31.0896,0.0015079377803876,295,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
112,STREET,824663.073748881,93195.1634864056,28.6512,0.009277442766185,116,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
113,STREET,824647.954479116,93204.8626670074,28.6512,0.0107411099961521,116,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
114,STREET,824630.267814491,93215.1324464697,28.6512,0.01309899988477,116,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
115,STREET,824616.289542446,93224.2610282111,28.6512,0.0159403565850388,116,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
116,STREET,824547.589079849,93257.8797609769,27.432,0.045050415263126,350,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
117,STREET,824725.54772393,93133.8306090748,30.1752,0.0080821457334246,119,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
118,STREET,824716.419142188,93149.5204776954,30.1752,0.0154059389371014,119,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
119,STREET,824703.011469003,93164.0691485952,29.8704,0.0331705228993153,121,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
120,STREET,824687.89209924,93176.0505246328,29.8704,0.0698107052286669,121,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
121,STREET,824674.199226626,93186.890702954,28.6512,0.0083993767125941,116,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
122,STREET,824733.820507386,92874.5206276956,31.3944,0.0198665565583192,274,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
123,STREET,824771.631364632,92848.0432509009,32.3088,0.0198095130474514,122,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
124,STREET,824684.355906314,93018.4193398959,29.8704,0.004982845329382,264,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
125,STREET,824712.312850399,93050.0246766844,30.48,0.0144469253408662,124,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
126,STREET,824762.51521484,93060.449541039,31.0896,0.0281258947220431,128,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
127,STREET,824758.353758318,93074.4946277472,31.0896,0.0510662576557262,128,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
128,STREET,824751.50727201,93091.0401946548,30.1752,0.0034768905525283,119,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
129,STREET,824762.918049191,92958.3898599558,31.6992,0.0461289762156561,276,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
130,STREET,824767.016413181,92955.5716196956,31.6992,0.0388655303033994,276,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
131,STREET,823951.097872835,93342.6234914893,28.3464,0.0092297917297242,88,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
132,STREET,823887.418200192,93389.0851985646,28.3464,0.0051400214519077,88,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
133,STREET,823766.166942694,93477.9395208537,30.48,0.0064361432978206,252,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
134,STREET,824031.156912716,93284.2651082028,27.432,0.0086955444715419,106,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
135,STREET,823951.103072822,93342.6184914992,28.3464,0.0092304576547628,88,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
136,STREET,824116.134642757,93222.3186320972,26.5176,0.0022466942371464,139,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
137,STREET,824116.135142759,93222.3215320927,26.5176,0.002246672639386,139,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
138,STREET,824031.160012708,93284.2630082083,27.432,0.0086958539190443,106,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
139,STREET,824225.766823493,93142.4058919218,26.2128,0,101,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
140,STREET,824116.137942751,93222.318932097,26.5176,0.0022467354736292,139,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
141,STREET,824245.648683731,93127.9112209145,26.2128,0,101,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
142,STREET,824380.401214225,93029.6882173588,27.7368,0.0182336089655503,99,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
143,STREET,824583.103008821,92881.9299128775,29.8704,0.0044261568022041,22,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
144,STREET,824706.115862795,92792.7385912593,31.3944,0.003076629677138,86,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
145,STREET,824706.121962782,92792.7337912707,31.3944,0.003076711955114,86,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
146,STREET,824753.113268799,92758.6711593964,31.6992,0.0052517846148552,92,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
147,STREET,824753.117968789,92758.6680593994,31.6992,0.0052512756783661,92,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
148,STREET,824764.634345757,92750.3194760961,31.6992,0.0042176830424331,92,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
149,STREET,824776.200913525,92741.5727616924,32.3088,0.0420382325668262,12,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
150,STREET,823587.73499956,93183.7535092295,29.8704,0.0041951564355283,214,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
151,STREET,824454.171266683,92975.9108249161,28.3464,0.0088032547485381,353,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
152,STREET,824452.442570144,92977.1690223994,28.3464,0.0090837266468152,353,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
