id,type,x,y,z,slope,outgoing,drain,drainCoupledID,drainType,drainLength,drainWidth,n_Manning,yFull,area,width
159,STREET,823258.226,92508.616,31.0896,0.000731,226,1,605,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
160,STREET,823288.001,92803.223,33.2232,0.033539,164,1,586,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
161,STREET,823222.935,92851.371,31.0896,0.005656,169,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
162,STREET,823397.992,92929.817,31.3944,0.002253,227,1,592,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
163,STREET,823317.541,92835.404,33.2232,0.168358,164,1,586,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
164,STREET,823324.368,92843.853,31.3944,0.002997,161,1,588,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
165,STREET,823282.824,93029.206,31.6992,0.009119,167,1,591,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
166,STREET,823225.616,93008.196,30.4800,0.001515,150,1,581,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
167,STREET,823256.125,93049.319,31.3944,0.017858,166,1,593,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
168,STREET,823345.754,92870.321,31.3944,0.002453,161,1,588,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
169,STREET,823224.777,92959.133,30.4800,0.000773,225,1,587,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
170,STREET,824052.420,92670.738,29.2608,0.010145,171,1,573,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
171,STREET,824077.310,92687.564,28.9560,0.017709,207,1,573,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
172,STREET,824093.640,92702.533,28.9560,0.022141,207,1,573,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
173,STREET,824118.490,92725.017,28.9560,0.034015,207,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
174,STREET,824148.310,92751.641,28.9560,0.053788,207,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
175,STREET,824173.870,92775.071,27.1272,0.001841,100,1,502,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
176,STREET,824158.968,92761.411,28.9560,0.090466,175,1,502,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
177,STREET,824154.345,92760.694,28.9560,0.075423,175,1,502,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
178,STREET,824149.552,92761.936,28.9560,0.066170,175,1,502,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
179,STREET,824145.292,92764.954,28.9560,0.081071,207,1,502,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
180,STREET,823260.635,92508.506,31.0896,0.000734,226,1,605,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
181,STREET,823263.185,92506.177,31.0896,0.000734,226,1,605,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
182,STREET,823274.193,92493.275,31.0896,0.000729,226,1,605,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
183,STREET,823217.521,92534.642,31.0896,0.001436,169,1,600,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
184,STREET,823234.781,92550.896,31.0896,0.000755,226,1,600,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
185,STREET,823333.997,92492.441,31.6992,0.010192,182,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
186,STREET,823258.313,92546.103,31.0896,0.000782,226,1,600,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
187,STREET,823245.530,92572.830,32.9184,0.074870,184,1,600,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
188,STREET,823218.492,92591.470,32.9184,0.041828,184,1,600,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
189,STREET,823251.380,92560.904,32.9184,0.111889,186,1,600,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
190,STREET,823264.123,92572.830,32.9184,0.066862,186,1,600,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
191,STREET,823274.984,92592.777,32.9184,0.036899,186,1,600,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
192,STREET,823286.348,92613.648,33.2232,0.012826,191,1,601,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
193,STREET,823289.108,92618.878,33.2232,0.010271,191,1,601,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
194,STREET,823292.303,92622.799,33.2232,0.008794,191,1,601,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
195,STREET,823496.472,92494.932,32.9184,0.017526,262,1,470,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
196,STREET,823439.847,92533.508,32.9184,0.013768,262,1,470,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
197,STREET,823310.279,92621.776,33.2232,0.006673,191,1,601,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
